path,text
crops_icdar15\train\img_282_001.png,DTX
crops_icdar15\train\img_359_004.png,DAN BROWN
crops_icdar15\train\img_709_002.png,OPTICAL
crops_icdar15\train\img_844_004.png,GRINGARE
crops_icdar15\train\img_360_011.png,ERAIEDIATE
crops_icdar15\train\img_26_001.png,LEVEL
crops_icdar15\train\img_257_009.png,YOUR
crops_icdar15\train\img_448_000.png,very
crops_icdar15\train\img_86_003.png,1-5
crops_icdar15\train\img_36_001.png,Interchange
crops_icdar15\train\img_696_005.png,PRADA
crops_icdar15\train\img_857_002.png,EXIT
crops_icdar15\train\img_401_007.png,TOPSHOP
crops_icdar15\train\img_921_003.png,AGENCY
crops_icdar15\train\img_562_005.png,Suckling
crops_icdar15\train\img_866_005.png,SALE
crops_icdar15\train\img_800_010.png,DENHAM
crops_icdar15\train\img_211_000.png,EXIT
crops_icdar15\train\img_582_007.png,GONG
crops_icdar15\train\img_921_007.png,SING
crops_icdar15\train\img_273_001.png,DISPLAY
crops_icdar15\train\img_713_004.png,BRITY
crops_icdar15\train\img_510_005.png,1249
crops_icdar15\train\img_667_005.png,off
crops_icdar15\train\img_898_008.png,HERE
crops_icdar15\train\img_149_000.png,STOP
crops_icdar15\train\img_483_001.png,JobStreet
crops_icdar15\train\img_889_005.png,SALE
crops_icdar15\train\img_37_001.png,Dine
crops_icdar15\train\img_872_000.png,Grand
crops_icdar15\train\img_137_002.png,REWARDS
crops_icdar15\train\img_702_003.png,roberto
crops_icdar15\train\img_802_006.png,MRT
crops_icdar15\train\img_548_003.png,$10
crops_icdar15\train\img_327_010.png,Kong
crops_icdar15\train\img_983_030.png,orse
crops_icdar15\train\img_548_000.png,HarbourFront
crops_icdar15\train\img_77_006.png,CAUTION
crops_icdar15\train\img_859_008.png,SALE
crops_icdar15\train\img_236_001.png,Matching
crops_icdar15\train\img_185_002.png,TOWER
crops_icdar15\train\img_797_002.png,G-STAR
crops_icdar15\train\img_108_004.png,SIDE-GATE
crops_icdar15\train\img_555_008.png,GLAM
crops_icdar15\train\img_751_005.png,SHOP
crops_icdar15\train\img_56_000.png,East
crops_icdar15\train\img_392_000.png,-70
crops_icdar15\train\img_511_002.png,1098
crops_icdar15\train\img_511_005.png,949
crops_icdar15\train\img_279_000.png,HELLO
crops_icdar15\train\img_235_003.png,BAG
crops_icdar15\train\img_233_001.png,Real
crops_icdar15\train\img_686_002.png,just
crops_icdar15\train\img_929_010.png,YEAR
crops_icdar15\train\img_862_002.png,Edition
crops_icdar15\train\img_627_003.png,ETT
crops_icdar15\train\img_248_004.png,Park
crops_icdar15\train\img_554_008.png,Bank
crops_icdar15\train\img_437_001.png,CORDIAL
crops_icdar15\train\img_295_002.png,OL:LO
crops_icdar15\train\img_35_000.png,HENDERSON
crops_icdar15\train\img_646_000.png,RLD
crops_icdar15\train\img_521_000.png,dENIZEN
crops_icdar15\train\img_936_000.png,ALTERATION
crops_icdar15\train\img_138_001.png,served
crops_icdar15\train\img_91_010.png,FALL
crops_icdar15\train\img_618_008.png,PARFAITS
crops_icdar15\train\img_432_005.png,GROOMING
crops_icdar15\train\img_163_010.png,Theatre
crops_icdar15\train\img_124_007.png,Asia
crops_icdar15\train\img_790_002.png,SALE
crops_icdar15\train\img_984_051.png,Carpark
crops_icdar15\train\img_76_002.png,Get
crops_icdar15\train\img_983_006.png,BOAD
crops_icdar15\train\img_849_007.png,half
crops_icdar15\train\img_78_021.png,engulry
crops_icdar15\train\img_772_005.png,TOPSHOP
crops_icdar15\train\img_318_000.png,TENT
crops_icdar15\train\img_718_005.png,STEVE
crops_icdar15\train\img_928_003.png,for
crops_icdar15\train\img_855_001.png,TOASTBOX
crops_icdar15\train\img_678_007.png,OSEN
crops_icdar15\train\img_418_002.png,Care
crops_icdar15\train\img_615_002.png,Life
crops_icdar15\train\img_22_000.png,Have
crops_icdar15\train\img_782_025.png,uemura
crops_icdar15\train\img_555_003.png,biggie.
crops_icdar15\train\img_655_003.png,LEVEL2
crops_icdar15\train\img_526_001.png,Do you Note?
crops_icdar15\train\img_108_017.png,SIDE
crops_icdar15\train\img_834_005.png,and
crops_icdar15\train\img_892_000.png,HERMES
crops_icdar15\train\img_961_001.png,SEAFOOD
crops_icdar15\train\img_833_001.png,Alice
crops_icdar15\train\img_678_000.png,ONSEN
crops_icdar15\train\img_930_011.png,LTD
crops_icdar15\train\img_949_001.png,ASIAN
crops_icdar15\train\img_332_002.png,DRINK
crops_icdar15\train\img_264_040.png,Data/Social
crops_icdar15\train\img_142_001.png,MEPS
crops_icdar15\train\img_252_001.png,LaunchPad
crops_icdar15\train\img_418_020.png,sale!
crops_icdar15\train\img_984_042.png,please
crops_icdar15\train\img_337_001.png,ALDO
crops_icdar15\train\img_939_001.png,TRAVE
crops_icdar15\train\img_474_001.png,COFFEE
crops_icdar15\train\img_849_010.png,earlier
crops_icdar15\train\img_467_005.png,LIVE
crops_icdar15\train\img_147_066.png,proudly
crops_icdar15\train\img_889_004.png,OFF
crops_icdar15\train\img_68_000.png,GAP
crops_icdar15\train\img_795_004.png,KLEIN
crops_icdar15\train\img_240_050.png,and
crops_icdar15\train\img_608_006.png,FOR
crops_icdar15\train\img_572_000.png,brothers
crops_icdar15\train\img_606_001.png,LOW
crops_icdar15\train\img_410_002.png,Xndo
crops_icdar15\train\img_961_003.png,Choice
crops_icdar15\train\img_353_001.png,explore
crops_icdar15\train\img_202_012.png,2014
crops_icdar15\train\img_403_001.png,ATCH
crops_icdar15\train\img_444_005.png,Cooking
crops_icdar15\train\img_862_001.png,Limited
crops_icdar15\train\img_617_002.png,handmade
crops_icdar15\train\img_72_000.png,PULL
crops_icdar15\train\img_418_013.png,Tois
crops_icdar15\train\img_374_005.png,29.90
crops_icdar15\train\img_672_005.png,PODI
crops_icdar15\train\img_116_009.png,Next
crops_icdar15\train\img_82_001.png,CINEMAS
crops_icdar15\train\img_943_014.png,UTY
crops_icdar15\train\img_32_003.png,Ann
crops_icdar15\train\img_284_006.png,PART
crops_icdar15\train\img_560_007.png,tech@vogue
crops_icdar15\train\img_896_007.png,ENJOY
crops_icdar15\train\img_668_001.png,MANY
crops_icdar15\train\img_946_004.png,Price
crops_icdar15\train\img_213_009.png,SUCCESS
crops_icdar15\train\img_18_013.png,Clementi
crops_icdar15\train\img_566_000.png,MAC
crops_icdar15\train\img_154_005.png,SUPER
crops_icdar15\train\img_621_001.png,Standard
crops_icdar15\train\img_780_005.png,shu
crops_icdar15\train\img_60_003.png,Bus
crops_icdar15\train\img_180_001.png,PAIN
crops_icdar15\train\img_256_005.png,Court
crops_icdar15\train\img_240_057.png,you
crops_icdar15\train\img_872_007.png,SALE
crops_icdar15\train\img_479_003.png,SALE
crops_icdar15\train\img_772_000.png,EXIT
crops_icdar15\train\img_94_014.png,20%
crops_icdar15\train\img_966_000.png,Herbs
crops_icdar15\train\img_32_000.png,City
crops_icdar15\train\img_201_007.png,redefining
crops_icdar15\train\img_510_003.png,769
crops_icdar15\train\img_898_003.png,WAITING
crops_icdar15\train\img_268_033.png,Good
crops_icdar15\train\img_95_044.png,cashier
crops_icdar15\train\img_475_022.png,SHION
crops_icdar15\train\img_415_004.png,VICHY
crops_icdar15\train\img_887_006.png,YEAR
crops_icdar15\train\img_116_010.png,custom
crops_icdar15\train\img_6_007.png,CAUTION
crops_icdar15\train\img_316_002.png,ZOOM
crops_icdar15\train\img_371_010.png,0-8
crops_icdar15\train\img_948_002.png,Remit
crops_icdar15\train\img_126_000.png,Pric
crops_icdar15\train\img_268_030.png,With
crops_icdar15\train\img_807_001.png,PANERAI
crops_icdar15\train\img_73_002.png,10%
crops_icdar15\train\img_135_000.png,TUCKSHOP
crops_icdar15\train\img_891_006.png,FORMULAS
crops_icdar15\train\img_952_007.png,Avente
crops_icdar15\train\img_429_006.png,m&m's
crops_icdar15\train\img_308_000.png,concierge@L3
crops_icdar15\train\img_222_008.png,Changing
crops_icdar15\train\img_194_003.png,Buses
crops_icdar15\train\img_491_009.png,HENG
crops_icdar15\train\img_560_005.png,ASUS
crops_icdar15\train\img_94_042.png,RED
crops_icdar15\train\img_273_000.png,ACRYLIC
crops_icdar15\train\img_274_020.png,der
crops_icdar15\train\img_372_002.png,SALE
crops_icdar15\train\img_976_002.png,BAKING
crops_icdar15\train\img_983_019.png,please
crops_icdar15\train\img_76_007.png,WATSONS
crops_icdar15\train\img_61_004.png,YOU
crops_icdar15\train\img_581_000.png,toss
crops_icdar15\train\img_918_006.png,SingTel
crops_icdar15\train\img_336_001.png,LIS
crops_icdar15\train\img_202_006.png,SKYLIGHT
crops_icdar15\train\img_196_005.png,Seating
crops_icdar15\train\img_371_013.png,Sanlas
crops_icdar15\train\img_213_002.png,THE
crops_icdar15\train\img_898_007.png,THE
crops_icdar15\train\img_122_007.png,Ave
crops_icdar15\train\img_241_033.png,3.50
crops_icdar15\train\img_257_008.png,"""SCAN"""
crops_icdar15\train\img_305_002.png,PROOF
crops_icdar15\train\img_558_002.png,Salon
crops_icdar15\train\img_482_000.png,Jurong
crops_icdar15\train\img_241_008.png,Toast
crops_icdar15\train\img_461_026.png,FST
crops_icdar15\train\img_40_001.png,Dine
crops_icdar15\train\img_952_012.png,for
crops_icdar15\train\img_147_016.png,outside
crops_icdar15\train\img_994_002.png,STARA
crops_icdar15\train\img_116_005.png,NEW
crops_icdar15\train\img_929_014.png,Nut
crops_icdar15\train\img_739_000.png,dENiZEN
crops_icdar15\train\img_999_005.png,gest
crops_icdar15\train\img_14_003.png,$4.00
crops_icdar15\train\img_96_001.png,IDEAL
crops_icdar15\train\img_982_004.png,HANDS
crops_icdar15\train\img_956_002.png,The
crops_icdar15\train\img_607_010.png,ICE
crops_icdar15\train\img_803_006.png,Thave
crops_icdar15\train\img_960_003.png,MONTH
crops_icdar15\train\img_669_008.png,mentos
crops_icdar15\train\img_154_002.png,SALE
crops_icdar15\train\img_236_006.png,Jobs
crops_icdar15\train\img_371_009.png,LADIES
crops_icdar15\train\img_983_034.png,not
crops_icdar15\train\img_460_009.png,Inspired
crops_icdar15\train\img_532_003.png,pason
crops_icdar15\train\img_847_012.png,all
crops_icdar15\train\img_173_001.png,Deep
crops_icdar15\train\img_49_004.png,ROAD
crops_icdar15\train\img_751_002.png,DIGITAL
crops_icdar15\train\img_30_000.png,Phoon
crops_icdar15\train\img_571_001.png,GAP
crops_icdar15\train\img_379_003.png,SPR
crops_icdar15\train\img_339_004.png,OFF
crops_icdar15\train\img_108_000.png,CARD
crops_icdar15\train\img_28_001.png,SMRT
crops_icdar15\train\img_368_002.png,SKECHERS
crops_icdar15\train\img_488_003.png,Coursi
crops_icdar15\train\img_353_002.png,beyond
crops_icdar15\train\img_256_003.png,Pool
crops_icdar15\train\img_965_001.png,RECIPES
crops_icdar15\train\img_126_003.png,Park
crops_icdar15\train\img_588_009.png,have
crops_icdar15\train\img_256_007.png,Pit
crops_icdar15\train\img_692_007.png,EXIT
crops_icdar15\train\img_518_001.png,SILVER
crops_icdar15\train\img_983_038.png,The
crops_icdar15\train\img_452_018.png,One
crops_icdar15\train\img_323_000.png,Level
crops_icdar15\train\img_650_000.png,fourskin
crops_icdar15\train\img_54_001.png,Circle
crops_icdar15\train\img_113_007.png,guardian
crops_icdar15\train\img_171_001.png,correct
crops_icdar15\train\img_568_002.png,STOREWIDE
crops_icdar15\train\img_311_001.png,TIFFANY
crops_icdar15\train\img_590_002.png,DBS
crops_icdar15\train\img_956_000.png,Storage
crops_icdar15\train\img_108_001.png,READER
crops_icdar15\train\img_852_008.png,Eli
crops_icdar15\train\img_374_006.png,THIS
crops_icdar15\train\img_766_001.png,510
crops_icdar15\train\img_563_000.png,TEAM
crops_icdar15\train\img_109_003.png,OOTOYA
crops_icdar15\train\img_163_002.png,PHOTO
crops_icdar15\train\img_955_012.png,FREE
crops_icdar15\train\img_930_007.png,RESTAURANT
crops_icdar15\train\img_169_001.png,SFT0242P
crops_icdar15\train\img_378_000.png,70%
crops_icdar15\train\img_346_002.png,BlogShopping
crops_icdar15\train\img_259_011.png,963
crops_icdar15\train\img_818_004.png,miu
crops_icdar15\train\img_82_015.png,THE
crops_icdar15\train\img_193_023.png,GATE.
crops_icdar15\train\img_912_002.png,Salon
crops_icdar15\train\img_921_037.png,6825
crops_icdar15\train\img_519_007.png,YOUR
crops_icdar15\train\img_107_000.png,Canon
crops_icdar15\train\img_385_000.png,bossini
crops_icdar15\train\img_257_014.png,READER
crops_icdar15\train\img_412_001.png,OCBC
crops_icdar15\train\img_40_000.png,Shop
crops_icdar15\train\img_133_006.png,date
crops_icdar15\train\img_259_000.png,B05
crops_icdar15\train\img_171_006.png,with
crops_icdar15\train\img_956_001.png,people
crops_icdar15\train\img_147_010.png,Country
crops_icdar15\train\img_387_002.png,Smokin
crops_icdar15\train\img_434_000.png,DARLIE
crops_icdar15\train\img_606_000.png,RAND
crops_icdar15\train\img_126_014.png,Safa
crops_icdar15\train\img_101_001.png,STICKER
crops_icdar15\train\img_648_000.png,SIMMONS
crops_icdar15\train\img_531_013.png,BIRDS
crops_icdar15\train\img_147_062.png,all
crops_icdar15\train\img_557_003.png,Salon
crops_icdar15\train\img_512_000.png,SAMSUNG
crops_icdar15\train\img_213_007.png,WE´RE
crops_icdar15\train\img_984_048.png,Garden
crops_icdar15\train\img_752_000.png,FOSSIC
crops_icdar15\train\img_825_002.png,GABBANA
crops_icdar15\train\img_410_010.png,Composition
crops_icdar15\train\img_898_002.png,WORTH
crops_icdar15\train\img_32_015.png,Occitane
crops_icdar15\train\img_614_003.png,CHANGER
crops_icdar15\train\img_188_005.png,psi
crops_icdar15\train\img_898_010.png,ALL
crops_icdar15\train\img_120_000.png,(USP)
crops_icdar15\train\img_355_000.png,BRATE
crops_icdar15\train\img_108_019.png,THE
crops_icdar15\train\img_545_001.png,WELCOME
crops_icdar15\train\img_524_002.png,drepublic
crops_icdar15\train\img_622_002.png,DON
crops_icdar15\train\img_297_019.png,Upgrade
crops_icdar15\train\img_240_047.png,Tidings
crops_icdar15\train\img_968_009.png,KitKat
crops_icdar15\train\img_278_001.png,MEDICAL
crops_icdar15\train\img_420_002.png,Hair
crops_icdar15\train\img_142_006.png,UOB
crops_icdar15\train\img_315_003.png,NEVER
crops_icdar15\train\img_606_004.png,CUBES
crops_icdar15\train\img_212_007.png,Sleeper
crops_icdar15\train\img_559_000.png,SingTel
crops_icdar15\train\img_301_000.png,YOGA
crops_icdar15\train\img_993_000.png,SOMA
crops_icdar15\train\img_899_002.png,PARIS
crops_icdar15\train\img_536_001.png,SALE
crops_icdar15\train\img_491_002.png,Laundry
crops_icdar15\train\img_808_000.png,PANE
crops_icdar15\train\img_432_002.png,HAIR
crops_icdar15\train\img_59_008.png,BETTER
crops_icdar15\train\img_144_000.png,WIND
crops_icdar15\train\img_65_006.png,West
crops_icdar15\train\img_11_002.png,Gen is
crops_icdar15\train\img_461_013.png,enovo
crops_icdar15\train\img_883_006.png,Laundry
crops_icdar15\train\img_460_002.png,Year
crops_icdar15\train\img_305_009.png,UST
crops_icdar15\train\img_690_007.png,STEROIDS
crops_icdar15\train\img_632_001.png,Feel
crops_icdar15\train\img_221_002.png,Shop&Dine
crops_icdar15\train\img_893_008.png,"BRANDS,"
crops_icdar15\train\img_34_001.png,TRAIL
crops_icdar15\train\img_86_000.png,WELKOME
crops_icdar15\train\img_147_005.png,Seating
crops_icdar15\train\img_54_010.png,Platform
crops_icdar15\train\img_624_000.png,BreadTalk
crops_icdar15\train\img_307_001.png,running
crops_icdar15\train\img_743_001.png,TOPSHOP
crops_icdar15\train\img_289_008.png,azura
crops_icdar15\train\img_540_001.png,JohN
crops_icdar15\train\img_233_007.png,from
crops_icdar15\train\img_391_010.png,Park
crops_icdar15\train\img_856_003.png,FOR
crops_icdar15\train\img_445_007.png,Christmas
crops_icdar15\train\img_983_007.png,ORCHARD
crops_icdar15\train\img_888_020.png,SALE
crops_icdar15\train\img_284_011.png,SPORTS
crops_icdar15\train\img_414_000.png,OPTICAL88
crops_icdar15\train\img_94_029.png,AWOOD
crops_icdar15\train\img_414_001.png,RUMAH
crops_icdar15\train\img_82_017.png,GLADIATOR
crops_icdar15\train\img_466_002.png,AND
crops_icdar15\train\img_883_004.png,Zero
crops_icdar15\train\img_637_012.png,OPTIONS
crops_icdar15\train\img_18_016.png,Toilet
crops_icdar15\train\img_866_006.png,SALE
crops_icdar15\train\img_982_003.png,TOKYU
crops_icdar15\train\img_491_001.png,TRADING
crops_icdar15\train\img_437_004.png,SYRUP
crops_icdar15\train\img_454_006.png,COURSE
crops_icdar15\train\img_833_000.png,EXIT
crops_icdar15\train\img_272_001.png,Equipment
crops_icdar15\train\img_882_003.png,baked
crops_icdar15\train\img_984_001.png,The
crops_icdar15\train\img_61_003.png,West
crops_icdar15\train\img_553_000.png,RITZBO
crops_icdar15\train\img_215_008.png,HOT
crops_icdar15\train\img_755_000.png,EXIT
crops_icdar15\train\img_870_000.png,BLACKCLOSE
crops_icdar15\train\img_270_002.png,FREE
crops_icdar15\train\img_356_006.png,MUST
crops_icdar15\train\img_494_006.png,European H
crops_icdar15\train\img_987_000.png,SYEARS
crops_icdar15\train\img_989_004.png,Lift
crops_icdar15\train\img_389_003.png,ET 1
crops_icdar15\train\img_140_013.png,Pasir
crops_icdar15\train\img_145_002.png,Recycle!
crops_icdar15\train\img_111_000.png,EXIT
crops_icdar15\train\img_386_008.png,FRE
crops_icdar15\train\img_767_002.png,THIS
crops_icdar15\train\img_520_002.png,SALE
crops_icdar15\train\img_569_002.png,bpalette
crops_icdar15\train\img_901_012.png,SALE
crops_icdar15\train\img_530_003.png,Sound
crops_icdar15\train\img_760_000.png,ALDO
crops_icdar15\train\img_73_003.png,OFF
crops_icdar15\train\img_70_000.png,there's
crops_icdar15\train\img_116_014.png,grain
crops_icdar15\train\img_94_005.png,NON-FICTION
crops_icdar15\train\img_184_001.png,SEXY!
crops_icdar15\train\img_399_000.png,VICTORIA'S
crops_icdar15\train\img_984_059.png,Ramp
crops_icdar15\train\img_376_001.png,WESTON
crops_icdar15\train\img_25_001.png,Kent
crops_icdar15\train\img_259_007.png,188
crops_icdar15\train\img_407_031.png,YEAR
crops_icdar15\train\img_481_002.png,BIOAPEX
crops_icdar15\train\img_155_003.png,TAL
crops_icdar15\train\img_82_016.png,DIRECTOR
crops_icdar15\train\img_147_025.png,Bay
crops_icdar15\train\img_268_037.png,8200
crops_icdar15\train\img_827_000.png,FURLA
crops_icdar15\train\img_443_004.png,DZEN
crops_icdar15\train\img_377_000.png,NOISE
crops_icdar15\train\img_236_009.png,Salary
crops_icdar15\train\img_322_001.png,havaianas
crops_icdar15\train\img_90_006.png,Fiction
crops_icdar15\train\img_354_006.png,4G.
crops_icdar15\train\img_461_028.png,ROWLING
crops_icdar15\train\img_348_007.png,OUT
crops_icdar15\train\img_72_001.png,PULL
crops_icdar15\train\img_980_002.png,Beginning
crops_icdar15\train\img_421_002.png,LOVE
crops_icdar15\train\img_838_002.png,Ion
crops_icdar15\train\img_94_024.png,SYLVIA
crops_icdar15\train\img_655_011.png,VIASS
crops_icdar15\train\img_117_004.png,rebate
crops_icdar15\train\img_418_010.png,Mum
crops_icdar15\train\img_998_003.png,GOT
crops_icdar15\train\img_11_004.png,Place
crops_icdar15\train\img_113_014.png,deserve
crops_icdar15\train\img_87_002.png,Offer
crops_icdar15\train\img_158_008.png,PASSBO
crops_icdar15\train\img_93_014.png,EST
crops_icdar15\train\img_24_003.png,Faculty
crops_icdar15\train\img_357_000.png,LOCK
crops_icdar15\train\img_564_008.png,S31
crops_icdar15\train\img_341_001.png,OFF
crops_icdar15\train\img_513_004.png,AQUOS
crops_icdar15\train\img_675_001.png,BLOUSES
crops_icdar15\train\img_301_001.png,LENOVO
crops_icdar15\train\img_47_002.png,MRT
crops_icdar15\train\img_438_003.png,WINE&SPIRITS
crops_icdar15\train\img_59_021.png,faculty
crops_icdar15\train\img_696_000.png,TERMINAL
crops_icdar15\train\img_259_009.png,201
crops_icdar15\train\img_120_002.png,Resource
crops_icdar15\train\img_844_000.png,SKINC
crops_icdar15\train\img_830_001.png,STEIN
crops_icdar15\train\img_845_002.png,SEMI-ANNUAL
crops_icdar15\train\img_94_022.png,off
crops_icdar15\train\img_463_012.png,times
crops_icdar15\train\img_170_005.png,ENGINEERING
crops_icdar15\train\img_415_006.png,Beauty
crops_icdar15\train\img_471_002.png,FLIPBOOTH
crops_icdar15\train\img_898_018.png,Ban
crops_icdar15\train\img_331_004.png,Beauty's
crops_icdar15\train\img_934_006.png,EXPRESS
crops_icdar15\train\img_147_065.png,world
crops_icdar15\train\img_582_002.png,FULL-TIME
crops_icdar15\train\img_94_015.png,ROBIN
crops_icdar15\train\img_502_005.png,KEY
crops_icdar15\train\img_619_000.png,CITIGEMS
crops_icdar15\train\img_991_003.png,BBQ
crops_icdar15\train\img_268_042.png,Interview
crops_icdar15\train\img_671_004.png,MARKETPLACE
crops_icdar15\train\img_408_000.png,ROBINSONS
crops_icdar15\train\img_78_016.png,card
crops_icdar15\train\img_961_010.png,100
crops_icdar15\train\img_461_017.png,Way
crops_icdar15\train\img_10_003.png,bua
crops_icdar15\train\img_263_000.png,CTE
crops_icdar15\train\img_170_001.png,Rajah
crops_icdar15\train\img_39_002.png,know
crops_icdar15\train\img_574_004.png,us!
crops_icdar15\train\img_408_002.png,LAUDER
crops_icdar15\train\img_941_003.png,Miguel
crops_icdar15\train\img_630_000.png,BODY
crops_icdar15\train\img_483_005.png,For
crops_icdar15\train\img_461_005.png,HIGSON
crops_icdar15\train\img_460_014.png,JOO
crops_icdar15\train\img_324_002.png,TOAST
crops_icdar15\train\img_875_011.png,SAL
crops_icdar15\train\img_472_004.png,TRADITION
crops_icdar15\train\img_601_003.png,"world,"
crops_icdar15\train\img_13_000.png,IPAL
crops_icdar15\train\img_81_000.png,GEOX
crops_icdar15\train\img_510_022.png,1198
crops_icdar15\train\img_57_007.png,East
crops_icdar15\train\img_509_013.png,WIN
crops_icdar15\train\img_483_008.png,Salary
crops_icdar15\train\img_297_020.png,and
crops_icdar15\train\img_906_002.png,OFF
crops_icdar15\train\img_984_040.png,all
crops_icdar15\train\img_136_019.png,Step
crops_icdar15\train\img_346_003.png,Buffet
crops_icdar15\train\img_327_014.png,Philippines
crops_icdar15\train\img_196_001.png,Reserved
crops_icdar15\train\img_98_012.png,a...
crops_icdar15\train\img_946_010.png,Based
crops_icdar15\train\img_164_008.png,BEAUTIFUL
crops_icdar15\train\img_577_002.png,TOWN
crops_icdar15\train\img_292_000.png,STORY
crops_icdar15\train\img_142_009.png,by:
crops_icdar15\train\img_147_020.png,that
crops_icdar15\train\img_400_000.png,TOPSHOP
crops_icdar15\train\img_912_000.png,ACTION
crops_icdar15\train\img_864_002.png,STUDIO
crops_icdar15\train\img_363_001.png,Muji
crops_icdar15\train\img_370_005.png,crocs
crops_icdar15\train\img_882_008.png,Garlic
crops_icdar15\train\img_23_001.png,AGSC2015
crops_icdar15\train\img_695_016.png,LOUIS
crops_icdar15\train\img_421_000.png,JOY
crops_icdar15\train\img_358_002.png,VISA
crops_icdar15\train\img_983_025.png,approach
crops_icdar15\train\img_171_005.png,Thank
crops_icdar15\train\img_941_000.png,SINCE
crops_icdar15\train\img_984_029.png,Med
crops_icdar15\train\img_264_038.png,Purchase
crops_icdar15\train\img_348_000.png,MOVING
crops_icdar15\train\img_213_006.png,AWARD
crops_icdar15\train\img_851_000.png,LOBBY
crops_icdar15\train\img_795_003.png,CALVIN
crops_icdar15\train\img_519_000.png,JAY
crops_icdar15\train\img_999_003.png,play
crops_icdar15\train\img_163_022.png,OUR
crops_icdar15\train\img_91_006.png,GALAITH
crops_icdar15\train\img_436_008.png,REAL
crops_icdar15\train\img_500_012.png,330
crops_icdar15\train\img_487_002.png,sunflower
crops_icdar15\train\img_767_008.png,505
crops_icdar15\train\img_680_002.png,run.
crops_icdar15\train\img_987_006.png,RAMEN
crops_icdar15\train\img_167_002.png,OFF
crops_icdar15\train\img_637_006.png,RETAIL
crops_icdar15\train\img_93_006.png,Electrical
crops_icdar15\train\img_940_002.png,RIA
crops_icdar15\train\img_305_004.png,INTENSE
crops_icdar15\train\img_587_005.png,love
crops_icdar15\train\img_920_000.png,MATAHARI
crops_icdar15\train\img_116_013.png,Almond
crops_icdar15\train\img_459_009.png,...
crops_icdar15\train\img_473_002.png,for
crops_icdar15\train\img_378_002.png,CUTS
crops_icdar15\train\img_949_002.png,1000
crops_icdar15\train\img_914_001.png,MINIMART
crops_icdar15\train\img_62_000.png,McDonalds
crops_icdar15\train\img_764_000.png,Calvin
crops_icdar15\train\img_818_008.png,GIORGIO
crops_icdar15\train\img_451_003.png,YOURS
crops_icdar15\train\img_78_063.png,services
crops_icdar15\train\img_641_000.png,crocs
crops_icdar15\train\img_503_005.png,EXIT
crops_icdar15\train\img_929_011.png,END
crops_icdar15\train\img_283_008.png,Trying
crops_icdar15\train\img_721_003.png,STEVE
crops_icdar15\train\img_241_010.png,1.60
crops_icdar15\train\img_502_002.png,Year
crops_icdar15\train\img_589_003.png,SAL
crops_icdar15\train\img_241_007.png,Sandwiches
crops_icdar15\train\img_847_002.png,with
crops_icdar15\train\img_159_015.png,Homme
crops_icdar15\train\img_415_003.png,OFF
crops_icdar15\train\img_67_002.png,MAO
crops_icdar15\train\img_419_004.png,Mum
crops_icdar15\train\img_638_013.png,MORE
crops_icdar15\train\img_75_001.png,West
crops_icdar15\train\img_25_000.png,MRT
crops_icdar15\train\img_894_002.png,launch
crops_icdar15\train\img_950_003.png,RECYCLE
crops_icdar15\train\img_193_010.png,CARD
crops_icdar15\train\img_300_005.png,Rowenta
